"Customer","FamilyMembers","Lifestage","Model","rocauc"
"34813125","(1, 2)","FamilyWithKids","Baseline",0.757843137254902
"34829163","(1, 2)","FamilyWithKids","Baseline",0.706600831600832
"34849271","(3, 8)","ActiveAdults","Baseline",0
"34869011","(3, 8)","FamilyWithKids","Baseline",0.711188811188811
"34880990","(1, 2)","ActiveAdults","Baseline",0.721342383107089
"34900016","(3, 8)","FamilyWithKids","Baseline",0.644249512670565
"34921742","(3, 8)","ActiveAdults","Baseline",0.488549618320611
"34925450","(1, 2)","ActiveAdults","Baseline",0.560234541577825
"34939564","(3, 8)","FamilyWithKids","Baseline",0.763904816513762
"34946074","(1, 2)","FamilyWithKids","Baseline",0.714285714285714
"34950147","(3, 8)","ActiveAdults","Baseline",0.79040404040404
"34959503","(1, 2)","ActiveAdults","Baseline",0.710470085470085
"34983607","(3, 8)","ActiveAdults","Baseline",0.74331550802139
"34992565","(3, 8)","ActiveAdults","Baseline",0.631944444444444
"35005435","(1, 2)","ActiveAdults","Baseline",0.654545454545455
"35006354","(1, 2)","FamilyWithKids","Baseline",0.69949494949495
"35019444","(1, 2)","FamilyWithKids","Baseline",0
"35027402","(1, 2)","ActiveAdults","Baseline",0.763045540796964
"35032328","(3, 8)","ActiveAdults","Baseline",0.767857142857143
"35094713","(3, 8)","ActiveAdults","Baseline",0.716071428571429
"35101316","(3, 8)","ActiveAdults","Baseline",0.681236673773987
"35103099","(1, 2)","ActiveAdults","Baseline",0.595802919708029
"35122644","(3, 8)","ActiveAdults","Baseline",0.800396825396825
"35132468","(1, 2)","ActiveAdults","Baseline",0.550836120401338
"35136756","(1, 2)","FamilyWithKids","Baseline",0.702380952380952
"35140443","(3, 8)","ActiveAdults","Baseline",0.683677685950413
"35142649","(3, 8)","FamilyWithKids","Baseline",0.708811475409836
"35185758","(3, 8)","ActiveAdults","Baseline",0.5853889943074
"35203400","(1, 2)","FamilyWithKids","Baseline",0.695814220183486
"35231900","(1, 2)","ActiveAdults","Baseline",0.541666666666667
"35232883","(3, 8)","ActiveAdults","Baseline",0.492647058823529
"35238063","(1, 2)","FamilyWithKids","Baseline",0.859090909090909
"35255400","(1, 2)","FamilyWithKids","Baseline",0.563986013986014
"35268006","(1, 2)","FamilyWithKids","Baseline",0.762094557449148
"35300245","(1, 2)","FamilyWithKids","Baseline",0.593536585365854
"35300600","(1, 2)","FamilyWithKids","Baseline",0
"35302000","(1, 2)","FamilyWithKids","Baseline",0.587458193979933
"35329337","(3, 8)","FamilyWithKids","Baseline",0.544191919191919
"39589733","(1, 2)","ActiveAdults","Baseline",0.66456228956229
"39592340","(3, 8)","ActiveAdults","Baseline",0.546747967479675
"39630514","(1, 2)","ActiveAdults","Baseline",0.773989898989899
"39633120","(1, 2)","FamilyWithKids","Baseline",0.710869565217391
"39661494","(3, 8)","FamilyWithKids","Baseline",0.641325536062378
"39674683","(3, 8)","ActiveAdults","Baseline",0.713063063063063
"39680217","(1, 2)","ActiveAdults","Baseline",0.726126126126126
"39733671","(3, 8)","ActiveAdults","Baseline",0.580808080808081
"39736627","(3, 8)","FamilyWithKids","Baseline",0.635030198446937
"39741603","(3, 8)","FamilyWithKids","Baseline",0.817738791423002
"39748303","(1, 2)","FamilyWithKids","Baseline",0.625338753387534
"39756194","(3, 8)","FamilyWithKids","Baseline",0.668768328445748
"39776678","(1, 2)","FamilyWithKids","Baseline",0.638888888888889
"39808384","(3, 8)","ActiveAdults","Baseline",0.595802919708029
"39820803","(3, 8)","ActiveAdults","Baseline",0
"39823522","(1, 2)","ActiveAdults","Baseline",0.52253320683112
"39824254","(1, 2)","ActiveAdults","Baseline",0.613492063492064
"39847892","(3, 8)","FamilyWithKids","Baseline",0.796489563567362
"39848592","(3, 8)","ActiveAdults","Baseline",0.526223776223776
"39850588","(3, 8)","FamilyWithKids","Baseline",0.75
"39854202","(3, 8)","ActiveAdults","Baseline",0
"39858422","(1, 2)","ActiveAdults","Baseline",0.736936936936937
