"Customer","FamilyMembers","Lifestage","Model","f1"
"26402016","(1, 2)","FamilyWithKids","Baseline",0.775
"26460149","(1, 2)","ActiveAdults","Baseline",0.285714285714286
"26475795","(3, 8)","ActiveAdults","Baseline",0.214285714285714
"26489265","(3, 8)","FamilyWithKids","Baseline",0.382978723404255
"26491740","(3, 8)","FamilyWithKids","Baseline",0.444444444444444
"26495222","(3, 8)","FamilyWithKids","Baseline",0.491228070175439
"26502467","(3, 8)","FamilyWithKids","Baseline",0.63013698630137
"26502565","(3, 8)","ActiveAdults","Baseline",0.44
"26513012","(1, 2)","ActiveAdults","Baseline",0.166666666666667
"26513514","(1, 2)","FamilyWithKids","Baseline",0.137931034482759
"26513722","(3, 8)","FamilyWithKids","Baseline",0.195121951219512
"26518495","(3, 8)","FamilyWithKids","Baseline",0.315789473684211
"26518659","(3, 8)","FamilyWithKids","Baseline",0.341463414634146
"26521517","(3, 8)","ActiveAdults","Baseline",0.434782608695652
"26522464","(1, 2)","FamilyWithKids","Baseline",0.524590163934426
"26535189","(3, 8)","FamilyWithKids","Baseline",0.735632183908046
"26544416","(3, 8)","ActiveAdults","Baseline",0
"26569507","(1, 2)","ActiveAdults","Baseline",0.19047619047619
"26578057","(1, 2)","FamilyWithKids","Baseline",0.19047619047619
"26585161","(1, 2)","FamilyWithKids","Baseline",0
"26589462","(1, 2)","ActiveAdults","Baseline",0.627450980392157
"26589534","(1, 2)","ActiveAdults","Baseline",0.416666666666667
"26600478","(1, 2)","ActiveAdults","Baseline",0.571428571428571
"26601946","(3, 8)","ActiveAdults","Baseline",0.578313253012048
"26618701","(3, 8)","ActiveAdults","Baseline",0.32
"29276526","(3, 8)","FamilyWithKids","Baseline",0.65
"29284158","(3, 8)","ActiveAdults","Baseline",0.457142857142857
"29304039","(3, 8)","ActiveAdults","Baseline",0.509090909090909
"29313565","(1, 2)","FamilyWithKids","Baseline",0.406779661016949
"29321769","(1, 2)","FamilyWithKids","Baseline",0.171428571428571
"29337923","(3, 8)","ActiveAdults","Baseline",0
"29347236","(3, 8)","FamilyWithKids","Baseline",0.327272727272727
"29365545","(1, 2)","FamilyWithKids","Baseline",0.458333333333333
"29380088","(3, 8)","FamilyWithKids","Baseline",0.577777777777778
"29406267","(3, 8)","ActiveAdults","Baseline",0.24
"29416697","(3, 8)","FamilyWithKids","Baseline",0.607142857142857
"29430523","(1, 2)","FamilyWithKids","Baseline",0
"29453248","(3, 8)","FamilyWithKids","Baseline",0.193548387096774
"29468396","(1, 2)","ActiveAdults","Baseline",0.266666666666667
"29468484","(3, 8)","ActiveAdults","Baseline",0.125
"29480655","(1, 2)","FamilyWithKids","Baseline",0.491228070175439
"34567526","(1, 2)","ActiveAdults","Baseline",0.307692307692308
"34571275","(3, 8)","ActiveAdults","Baseline",0.307692307692308
"34586076","(1, 2)","ActiveAdults","Baseline",0.551724137931034
"34586106","(1, 2)","FamilyWithKids","Baseline",0.25
"34610793","(1, 2)","ActiveAdults","Baseline",0.588235294117647
"34614938","(1, 2)","ActiveAdults","Baseline",0.222222222222222
"34640970","(1, 2)","ActiveAdults","Baseline",0.56
"34641300","(1, 2)","FamilyWithKids","Baseline",0.468085106382979
"34725020","(3, 8)","FamilyWithKids","Baseline",0.333333333333333
"34732848","(3, 8)","ActiveAdults","Baseline",0.16
"34761632","(1, 2)","FamilyWithKids","Baseline",0.461538461538462
"34764938","(3, 8)","FamilyWithKids","Baseline",0.580645161290323
"34765018","(3, 8)","FamilyWithKids","Baseline",0.535211267605634
"34775748","(1, 2)","ActiveAdults","Baseline",0.125
"34800212","(3, 8)","FamilyWithKids","Baseline",0.619047619047619
"34811172","(1, 2)","FamilyWithKids","Baseline",0
"34813125","(1, 2)","FamilyWithKids","Baseline",0.682926829268293
"34829163","(1, 2)","FamilyWithKids","Baseline",0.581818181818182
"34849271","(3, 8)","ActiveAdults","Baseline",0
"34869011","(3, 8)","FamilyWithKids","Baseline",0.363636363636364
"34880990","(1, 2)","ActiveAdults","Baseline",0.597402597402597
"34900016","(3, 8)","FamilyWithKids","Baseline",0.419354838709677
"34921742","(3, 8)","ActiveAdults","Baseline",0
"34925450","(1, 2)","ActiveAdults","Baseline",0.181818181818182
"34939564","(3, 8)","FamilyWithKids","Baseline",0.626865671641791
"34946074","(1, 2)","FamilyWithKids","Baseline",0.363636363636364
"34950147","(3, 8)","ActiveAdults","Baseline",0.7
"34959503","(1, 2)","ActiveAdults","Baseline",0.491228070175439
"34983607","(3, 8)","ActiveAdults","Baseline",0.585365853658537
"34992565","(3, 8)","ActiveAdults","Baseline",0.391304347826087
"35005435","(1, 2)","ActiveAdults","Baseline",0.41025641025641
"35006354","(1, 2)","FamilyWithKids","Baseline",0.555555555555556
"35019444","(1, 2)","FamilyWithKids","Baseline",0
"35027402","(1, 2)","ActiveAdults","Baseline",0.511627906976744
"35032328","(3, 8)","ActiveAdults","Baseline",0.590909090909091
"35094713","(3, 8)","ActiveAdults","Baseline",0.511627906976744
"35101316","(3, 8)","ActiveAdults","Baseline",0.205128205128205
"35103099","(1, 2)","ActiveAdults","Baseline",0.153846153846154
"35122644","(3, 8)","ActiveAdults","Baseline",0.73015873015873
"35132468","(1, 2)","ActiveAdults","Baseline",0.222222222222222
"35136756","(1, 2)","FamilyWithKids","Baseline",0.5625
"35140443","(3, 8)","ActiveAdults","Baseline",0.461538461538462
"35142649","(3, 8)","FamilyWithKids","Baseline",0.6
"35185758","(3, 8)","ActiveAdults","Baseline",0.275862068965517
"35203400","(1, 2)","FamilyWithKids","Baseline",0.549019607843137
"35231900","(1, 2)","ActiveAdults","Baseline",0.153846153846154
"35232883","(3, 8)","ActiveAdults","Baseline",0
"35238063","(1, 2)","FamilyWithKids","Baseline",0.545454545454546
"35255400","(1, 2)","FamilyWithKids","Baseline",0.2
"35268006","(1, 2)","FamilyWithKids","Baseline",0.646153846153846
"35300245","(1, 2)","FamilyWithKids","Baseline",0.388059701492537
"35300600","(1, 2)","FamilyWithKids","Baseline",0
"35302000","(1, 2)","FamilyWithKids","Baseline",0.303030303030303
"35329337","(3, 8)","FamilyWithKids","Baseline",0.153846153846154
"39589733","(1, 2)","ActiveAdults","Baseline",0.490566037735849
"39592340","(3, 8)","ActiveAdults","Baseline",0.2
"39630514","(1, 2)","ActiveAdults","Baseline",0.666666666666667
"39633120","(1, 2)","FamilyWithKids","Baseline",0.541666666666667
"39661494","(3, 8)","FamilyWithKids","Baseline",0.425531914893617
"39674683","(3, 8)","ActiveAdults","Baseline",0.527777777777778
"39680217","(1, 2)","ActiveAdults","Baseline",0.581818181818182
"39733671","(3, 8)","ActiveAdults","Baseline",0.333333333333333
"39736627","(3, 8)","FamilyWithKids","Baseline",0.368421052631579
"39741603","(3, 8)","FamilyWithKids","Baseline",0.677966101694915
"39748303","(1, 2)","FamilyWithKids","Baseline",0.333333333333333
"39756194","(3, 8)","FamilyWithKids","Baseline",0.490566037735849
"39776678","(1, 2)","FamilyWithKids","Baseline",0.44
"39808384","(3, 8)","ActiveAdults","Baseline",0.153846153846154
"39820803","(3, 8)","ActiveAdults","Baseline",0
"39823522","(1, 2)","ActiveAdults","Baseline",0.142857142857143
"39824254","(1, 2)","ActiveAdults","Baseline",0.333333333333333
"39847892","(3, 8)","FamilyWithKids","Baseline",0.558139534883721
"39848592","(3, 8)","ActiveAdults","Baseline",0.117647058823529
"39850588","(3, 8)","FamilyWithKids","Baseline",0.434782608695652
"39854202","(3, 8)","ActiveAdults","Baseline",0
"39858422","(1, 2)","ActiveAdults","Baseline",0.580645161290323
