CUSTOMER_ACCOUNT_NR_MASK,SUBCAT_CD_EXT,PROBABILITIES
183933,10303,
183933,80414,
183933,170310,
183933,50203,
183933,10301,
183933,170310,
183933,170305,
183933,30208,
198475,140301,
198475,100101,
198475,80403,
198475,20304,
198475,50203,
198475,100102,
198475,10303,
198475,70202,
198475,10305,
198475,80411,
198475,70201,
198475,20303,
198475,30208,
198475,80411,
198475,10303,
198475,80408,
198475,70204,
198475,60107,
202298,20306,
202298,80415,
202298,170307,
202298,70205,
202298,70205,
202298,80407,
202298,140304,
202298,70201,
202298,170307,
202298,80415,
202298,50201,
202298,70206,
202298,80413,
202298,80403,
202298,10301,
202298,10302,
202298,170304,
202298,170305,
202298,20302,
202298,50303,
246493,70204,
246493,140201,
246493,10305,
246493,30204,
246493,20303,
246493,70202,
246493,80401,
246493,170301,
246493,20303,
246493,70201,
246493,80413,
246493,70201,
246493,170310,
246493,50203,
246493,10303,
246493,70206,
246493,80402,
246493,10302,
246493,80408,
246493,30402,
250716,140303,
250716,30303,
250716,140301,
250716,30208,
250716,80404,
250716,70205,
250716,80402,
250716,170302,
250716,70203,
250716,170301,
250716,10303,
250716,170301,
250716,10303,
250716,170313,
250716,10301,
250716,170302,
250716,140303,
250716,140301,
250716,80404,
250716,10301,
278576,170304,
278576,50201,
278576,170313,
278576,170307,
278576,20304,
278576,140301,
278576,170303,
278576,80406,
278576,80402,
278576,140304,
278576,80408,
278576,80414,
278576,170301,
278576,170305,
278576,140302,
278576,70202,
278576,170313,
278576,10302,
278576,30208,
278576,170309,
278687,70203,
278687,70202,
278687,80408,
278687,80414,
278687,30304,
278687,70201,
278687,50202,
278687,170313,
278687,80401,
278687,170307,
278687,10305,
278687,140304,
278687,70204,
278687,140303,
278687,10302,
278687,170302,
278687,70202,
278687,170307,
278687,10301,
278687,50202,
286019,100101,
286019,20301,
286019,70203,
286019,50201,
286019,170301,
286019,80413,
286019,80401,
286019,70205,
286019,170310,
286019,80415,
286019,70204,
286019,70203,
286019,30208,
286019,10302,
286019,170310,
286019,170301,
286019,80414,
286019,170313,
286019,80401,
286019,50202,
295501,170313,
295501,60403,
295501,10301,
295501,80404,
295501,170313,
295501,70204,
295501,50201,
295501,20301,
295501,170301,
295501,80405,
295501,80407,
295501,50202,
295501,10303,
295501,10302,
295501,170302,
295501,70203,
295501,140301,
295501,170303,
295501,80401,
295501,140304,
299364,80403,
299364,70204,
299364,170302,
299364,80415,
299364,100102,
299364,100101,
299364,170310,
299364,80407,
299364,80403,
299364,10305,
299364,30208,
299364,80414,
299364,80404,
299364,70204,
299364,170301,
299364,70201,
299364,80415,
299364,80414,
299364,80411,
299364,10301,
315121,20301,
315121,80404,
315121,10302,
315121,50203,
315121,80403,
315121,140302,
332953,80402,
332953,170307,
332953,140304,
332953,70203,
332953,80405,
332953,170313,
332953,170305,
332953,70203,
332953,80415,
332953,10301,
332953,20303,
332953,80407,
332953,170305,
332953,70204,
332953,70203,
332953,20301,
332953,140303,
332953,100102,
332953,140304,
332953,10302,
335092,10302,
335092,80409,
335092,20304,
335092,20304,
335092,170303,
335092,10301,
335092,80408,
335092,80406,
335092,30208,
335092,80409,
335092,10301,
335092,170310,
335092,50203,
335092,80413,
335092,70202,
335092,140301,
335092,170304,
335092,170313,
335092,70201,
335092,80411,
372378,170304,
372378,100102,
372378,170301,
372378,140302,
372378,80403,
372378,20301,
372378,70205,
372378,30208,
372378,70203,
372378,80401,
372378,100101,
372378,170303,
372378,80407,
372378,20302,
372378,80414,
372378,170108,
372378,20302,
372378,140303,
373157,80104,
373157,70206,
373157,60106,
373157,50201,
373157,140303,
373157,80404,
373157,80406,
373157,170309,
373157,80411,
373157,100101,
373157,20301,
373157,80401,
373157,170304,
373157,70201,
373157,80409,
373157,80413,
373157,10303,
373157,170310,
373157,100102,
373157,140304,
379237,70204,
379237,30205,
379237,20306,
379237,80401,
379237,60105,
379237,170309,
379237,20302,
379237,80411,
379237,80407,
379237,80405,
379237,20303,
379237,140302,
379237,80401,
379237,80411,
379237,100102,
379237,80401,
379237,70205,
379237,80411,
379237,80414,
379237,80407,
380276,140304,
380276,170302,
380276,20302,
380276,30402,
380276,170309,
380276,170310,
380276,80407,
380276,80414,
380276,80409,
380276,80405,
380276,80411,
380276,80406,
380276,140303,
380276,140302,
380276,10305,
380276,80407,
380276,170313,
380276,80402,
380276,50201,
380276,80407,
385671,80405,
385671,70206,
385671,70201,
385671,20301,
385671,140303,
385671,70203,
385671,80411,
385671,80407,
385671,80406,
385671,80414,
385671,80404,
385671,140304,
385671,20301,
385671,10302,
385671,80404,
385671,140303,
385671,170302,
385671,140302,
385671,170302,
385671,50201,
396634,100101,
396634,140301,
396634,30208,
396634,170303,
396634,20302,
396634,170301,
396634,80409,
396634,170301,
396634,70205,
396634,70204,
396634,50201,
396634,80414,
396634,70201,
396634,30208,
396634,80414,
396634,20301,
396634,140304,
396634,170309,
396634,140302,
396634,30208,
400429,20201,
400429,70202,
400429,140204,
400429,70203,
400429,50201,
400429,10208,
400429,80415,
400429,170304,
400429,80402,
400429,30208,
400429,170304,
400429,140301,
400429,50203,
400429,170302,
400429,20302,
400429,10302,
400429,70203,
400429,80414,
400429,140301,
400429,10302,
402644,170302,
402644,170313,
402644,10205,
402644,50202,
402644,80105,
402644,70206,
402644,140206,
402644,170313,
402644,10303,
402644,80409,
402644,20303,
402644,70205,
402644,20301,
402644,140301,
402644,140304,
402644,170302,
402644,170301,
402644,70205,
402644,170313,
402644,70204,
408983,10302,
408983,80407,
408983,10301,
408983,170105,
408983,70201,
408983,170304,
408983,20301,
408983,170303,
408983,170305,
408983,170302,
408983,70202,
